system:index;CA;CB;CS;latitude;longitude;.geo
0;50.765.053;12.045.225;6;-7.496.441.045.977.400;11.065.896.827.426.300;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.65896827426326,-7.496441045977408]}"
1;46.980.125;11.828.725;5;-7.487.457.893.136.210;1.106.050.693.572.160;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.6050693572161,-7.487457893136212]}"
2;463.192;11.608.475;5;-7.487.457.893.136.210;11.061.405.251.005.700;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61405251005729,-7.487457893136212]}"
3;35.962.925;88.882;5;-7.487.457.893.136.210;11.062.303.566.289.800;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.62303566289847,-7.487457893136212]}"
4;33.521.976;831.685;5;-7.487.457.893.136.210;11.063.201.881.573.900;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.63201881573967,-7.487457893136212]}"
5;311.378;7.738.575;6;-7.487.457.893.136.210;11.064.100.196.858.000;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.64100196858087,-7.487457893136212]}"
6;606.488;1.530.585;5;-7.487.457.893.136.210;11.064.998.512.142.200;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.64998512142206,-7.487457893136212]}"
7;61.269.775;14.643.825;5;-7.478.474.740.295.010;1.106.050.693.572.160;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.6050693572161,-7.478474740295017]}"
8;540.481;13.069.525;5;-7.478.474.740.295.010;11.061.405.251.005.700;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61405251005729,-7.478474740295017]}"
9;44.445.225;1.141.615;5;-7.478.474.740.295.010;11.062.303.566.289.800;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.62303566289847,-7.478474740295017]}"
10;49.954.998;13.235.875;6;-7.478.474.740.295.010;11.063.201.881.573.900;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.63201881573967,-7.478474740295017]}"
11;4.086.985;979.665;6;-7.478.474.740.295.010;11.064.100.196.858.000;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.64100196858087,-7.478474740295017]}"
12;50.798.374;12.045.751;6;-7.478.474.740.295.010;11.064.998.512.142.200;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.64998512142206,-7.478474740295017]}"
13;60.740.776;14.925.449;5;-7.469.491.587.453.820;1.105.871.030.515.330;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5871030515337,-7.469491587453821]}"
14;621.153;15.107.575;5;-7.469.491.587.453.820;1.105.960.862.043.740;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5960862043749,-7.469491587453821]}"
15;43.591.774;11.659.775;5;-7.469.491.587.453.820;1.106.050.693.572.160;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.6050693572161,-7.469491587453821]}"
16;4.594.905;11.011.325;5;-7.469.491.587.453.820;11.061.405.251.005.700;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61405251005729,-7.469491587453821]}"
17;58.383.423;14.212.525;5;-7.469.491.587.453.820;11.062.303.566.289.800;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.62303566289847,-7.469491587453821]}"
18;61.956.978;15.277.275;6;-7.469.491.587.453.820;11.063.201.881.573.900;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.63201881573967,-7.469491587453821]}"
19;333.045;8.415.075;5;-7.460.508.434.612.620;1.105.960.862.043.740;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5960862043749,-7.460508434612627]}"
20;50.664.276;12.556;5;-7.460.508.434.612.620;1.106.050.693.572.160;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.6050693572161,-7.460508434612627]}"
21;3.721.585;9.210.625;5;-7.460.508.434.612.620;11.061.405.251.005.700;"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61405251005729,-7.460508434612627]}"
