system:index,CA,CB,CS,latitude,longitude,.geo
0,50.765053,12.045225,6,-7.496441045977408,110.65896827426326,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.65896827426326,-7.496441045977408]}"
1,46.980125,11.828725,5,-7.487457893136212,110.6050693572161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.6050693572161,-7.487457893136212]}"
2,46.3192,11.608475,5,-7.487457893136212,110.61405251005729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61405251005729,-7.487457893136212]}"
3,35.962925,8.8882,5,-7.487457893136212,110.62303566289847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.62303566289847,-7.487457893136212]}"
4,33.521976,8.31685,5,-7.487457893136212,110.63201881573967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.63201881573967,-7.487457893136212]}"
5,31.1378,7.738575,6,-7.487457893136212,110.64100196858087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.64100196858087,-7.487457893136212]}"
6,60.6488,15.30585,5,-7.487457893136212,110.64998512142206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.64998512142206,-7.487457893136212]}"
7,61.269775,14.643825,5,-7.478474740295017,110.6050693572161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.6050693572161,-7.478474740295017]}"
8,54.0481,13.069525,5,-7.478474740295017,110.61405251005729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61405251005729,-7.478474740295017]}"
9,44.445225,11.41615,5,-7.478474740295017,110.62303566289847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.62303566289847,-7.478474740295017]}"
10,49.954998,13.235875,6,-7.478474740295017,110.63201881573967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.63201881573967,-7.478474740295017]}"
11,40.86985,9.79665,6,-7.478474740295017,110.64100196858087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.64100196858087,-7.478474740295017]}"
12,50.798374,12.045751,6,-7.478474740295017,110.64998512142206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.64998512142206,-7.478474740295017]}"
13,60.740776,14.925449,5,-7.469491587453821,110.5871030515337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5871030515337,-7.469491587453821]}"
14,62.1153,15.107575,5,-7.469491587453821,110.5960862043749,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5960862043749,-7.469491587453821]}"
15,43.591774,11.659775,5,-7.469491587453821,110.6050693572161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.6050693572161,-7.469491587453821]}"
16,45.94905,11.011325,5,-7.469491587453821,110.61405251005729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61405251005729,-7.469491587453821]}"
17,58.383423,14.212525,5,-7.469491587453821,110.62303566289847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.62303566289847,-7.469491587453821]}"
18,61.956978,15.277275,6,-7.469491587453821,110.63201881573967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.63201881573967,-7.469491587453821]}"
19,33.3045,8.415075,5,-7.460508434612627,110.5960862043749,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5960862043749,-7.460508434612627]}"
20,50.664276,12.556,5,-7.460508434612627,110.6050693572161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.6050693572161,-7.460508434612627]}"
21,37.21585,9.210625,5,-7.460508434612627,110.61405251005729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61405251005729,-7.460508434612627]}"
22,47.581947,11.500175,5,-7.460508434612627,110.62303566289847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.62303566289847,-7.460508434612627]}"
23,23.145576,6.03475,5,-7.451525281771431,110.5871030515337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5871030515337,-7.451525281771431]}"
24,27.283901,6.99235,4,-7.451525281771431,110.6050693572161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.6050693572161,-7.451525281771431]}"
25,33.725475,8.443675,5,-7.451525281771431,110.61405251005729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61405251005729,-7.451525281771431]}"
26,64.1086,15.776951,6,-7.451525281771431,110.64100196858087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.64100196858087,-7.451525281771431]}"
27,43.19775,17.775925,33,-7.442542128930236,110.43438945323338,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43438945323338,-7.442542128930236]}"
28,41.7895,16.851524,34,-7.442542128930236,110.44337260607458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44337260607458,-7.442542128930236]}"
29,56.478374,13.522575,5,-7.442542128930236,110.5960862043749,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5960862043749,-7.442542128930236]}"
30,38.9175,9.677975,5,-7.442542128930236,110.6050693572161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.6050693572161,-7.442542128930236]}"
31,48.095127,12.165125,5,-7.442542128930236,110.61405251005729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61405251005729,-7.442542128930236]}"
32,49.745,12.717775,5,-7.442542128930236,110.62303566289847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.62303566289847,-7.442542128930236]}"
33,66.1836,24.7603,28,-7.43355897608904,110.42540630039218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42540630039218,-7.43355897608904]}"
34,55.744247,19.41865,31,-7.43355897608904,110.43438945323338,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43438945323338,-7.43355897608904]}"
35,53.939827,16.983776,31,-7.43355897608904,110.44337260607458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44337260607458,-7.43355897608904]}"
36,39.185677,10.425,6,-7.43355897608904,110.52422098164533,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.52422098164533,-7.43355897608904]}"
37,36.731476,10.24465,5,-7.43355897608904,110.55117044016892,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.55117044016892,-7.43355897608904]}"
38,44.516098,12.0854,5,-7.43355897608904,110.56913674585131,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.56913674585131,-7.43355897608904]}"
39,37.256073,9.323976,5,-7.43355897608904,110.5871030515337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5871030515337,-7.43355897608904]}"
40,25.289299,6.55825,5,-7.43355897608904,110.5960862043749,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5960862043749,-7.43355897608904]}"
41,26.2674,6.771125,5,-7.43355897608904,110.6050693572161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.6050693572161,-7.43355897608904]}"
42,23.371624,6.0501,5,-7.43355897608904,110.61405251005729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61405251005729,-7.43355897608904]}"
43,47.923374,11.632575,5,-7.43355897608904,110.62303566289847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.62303566289847,-7.43355897608904]}"
44,37.8556,9.3405,5,-7.43355897608904,110.63201881573967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.63201881573967,-7.43355897608904]}"
45,73.7726,20.284824,21,-7.424575823247846,110.42540630039218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42540630039218,-7.424575823247846]}"
46,59.253475,16.73385,22,-7.424575823247846,110.43438945323338,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43438945323338,-7.424575823247846]}"
47,74.23735,20.5117,23,-7.424575823247846,110.44337260607458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44337260607458,-7.424575823247846]}"
48,76.71405,20.0816,17,-7.424575823247846,110.45235575891577,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45235575891577,-7.424575823247846]}"
49,43.724503,11.69495,6,-7.424575823247846,110.51523782880413,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.51523782880413,-7.424575823247846]}"
50,36.596,9.84525,6,-7.424575823247846,110.52422098164533,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.52422098164533,-7.424575823247846]}"
51,38.7482,10.480825,5,-7.424575823247846,110.53320413448652,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.53320413448652,-7.424575823247846]}"
52,33.063152,9.2267,5,-7.424575823247846,110.54218728732772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.54218728732772,-7.424575823247846]}"
53,49.01375,12.7262,6,-7.424575823247846,110.55117044016892,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.55117044016892,-7.424575823247846]}"
54,37.4563,10.202425,5,-7.424575823247846,110.56015359301011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.56015359301011,-7.424575823247846]}"
55,36.830173,9.26925,5,-7.424575823247846,110.56913674585131,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.56913674585131,-7.424575823247846]}"
56,29.74945,7.6323752,5,-7.424575823247846,110.5871030515337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5871030515337,-7.424575823247846]}"
57,30.247026,7.726,5,-7.424575823247846,110.5960862043749,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5960862043749,-7.424575823247846]}"
58,31.644276,8.03375,5,-7.424575823247846,110.6050693572161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.6050693572161,-7.424575823247846]}"
59,44.7022,10.980375,5,-7.424575823247846,110.61405251005729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.61405251005729,-7.424575823247846]}"
60,47.843025,11.6403,5,-7.424575823247846,110.62303566289847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.62303566289847,-7.424575823247846]}"
