system:index,CA,CB,CS,latitude,longitude,.geo
0,18.98,4.94,1.3,-8.115829434377817,110.49412741962733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49412741962733,-8.115829434377817]}"
1,15.715,5.4700003,1.04,-8.115829434377817,110.49682236547969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49682236547969,-8.115829434377817]}"
2,20.6003,5.7521,3.1200000000000006,-8.115829434377817,110.49951731133204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49951731133204,-8.115829434377817]}"
3,12.71,3.23,1.3,-8.113134488525459,110.48873752792261,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48873752792261,-8.113134488525459]}"
4,32.69,7.97,1.04,-8.113134488525459,110.49143247377496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49143247377496,-8.113134488525459]}"
5,31.19,7.8,1.5600000000000003,-8.113134488525459,110.49412741962733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49412741962733,-8.113134488525459]}"
6,34.2013,8.9581,1.3,-8.113134488525459,110.49682236547969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49682236547969,-8.113134488525459]}"
7,34.1584,8.878301,1.5600000000000003,-8.113134488525459,110.49951731133204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49951731133204,-8.113134488525459]}"
8,5.404,2.852,1.5600000000000003,-8.1104395426731,110.47526279866082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47526279866082,-8.1104395426731]}"
9,21.9025,6.7407994,1.5600000000000003,-8.1104395426731,110.47795774451318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47795774451318,-8.1104395426731]}"
10,29.247301,7.8485,1.5600000000000003,-8.1104395426731,110.48065269036553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48065269036553,-8.1104395426731]}"
11,40.5036,9.736401,1.3,-8.1104395426731,110.4833476362179,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4833476362179,-8.1104395426731]}"
12,40.5036,9.736401,1.3,-8.1104395426731,110.48604258207025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48604258207025,-8.1104395426731]}"
13,18.7504,4.9645996,1.3,-8.1104395426731,110.48873752792261,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48873752792261,-8.1104395426731]}"
14,34.1725,8.391,1.5600000000000003,-8.1104395426731,110.49143247377496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49143247377496,-8.1104395426731]}"
15,54.239998,12.856,1.5600000000000003,-8.1104395426731,110.49412741962733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49412741962733,-8.1104395426731]}"
16,31.8738,8.351,1.5600000000000003,-8.1104395426731,110.49682236547969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49682236547969,-8.1104395426731]}"
17,9.7816,3.3008,1.5600000000000003,-8.1104395426731,110.49951731133204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49951731133204,-8.1104395426731]}"
18,39.1785,10.481,1.5600000000000003,-8.107744596820742,110.46717796110374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.46717796110374,-8.107744596820742]}"
19,46.8554,11.13,2.8600000000000003,-8.107744596820742,110.4698729069561,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4698729069561,-8.107744596820742]}"
20,29.6948,7.5392,1.82,-8.107744596820742,110.47256785280845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47256785280845,-8.107744596820742]}"
21,27.018002,7.0108,1.5600000000000003,-8.107744596820742,110.47526279866082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47526279866082,-8.107744596820742]}"
22,41.094,10.1116,1.82,-8.107744596820742,110.47795774451318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47795774451318,-8.107744596820742]}"
23,43.403,10.6751995,2.3400000000000003,-8.107744596820742,110.48065269036553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48065269036553,-8.107744596820742]}"
24,33.3728,8.4192,1.82,-8.107744596820742,110.4833476362179,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4833476362179,-8.107744596820742]}"
25,33.3728,8.4192,1.82,-8.107744596820742,110.48604258207025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48604258207025,-8.107744596820742]}"
26,36.0944,8.9936,1.3,-8.107744596820742,110.48873752792261,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48873752792261,-8.107744596820742]}"
27,22.7036,6.3968,1.82,-8.107744596820742,110.49143247377496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49143247377496,-8.107744596820742]}"
28,30.359,8.0239,1.5600000000000003,-8.107744596820742,110.49412741962733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49412741962733,-8.107744596820742]}"
29,26.7248,7.2055,1.3,-8.107744596820742,110.49682236547969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49682236547969,-8.107744596820742]}"
30,28.756,8.498,1.3,-8.107744596820742,110.49951731133204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49951731133204,-8.107744596820742]}"
31,39.202,9.5859995,1.5600000000000003,-8.105049650968382,110.46717796110374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.46717796110374,-8.105049650968382]}"
32,37.422,9.2524,2.08,-8.105049650968382,110.4698729069561,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4698729069561,-8.105049650968382]}"
33,31.9648,8.0492,2.3400000000000003,-8.105049650968382,110.47256785280845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47256785280845,-8.105049650968382]}"
34,29.9424,8.0065,1.82,-8.105049650968382,110.47526279866082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47526279866082,-8.105049650968382]}"
35,30.798,8.104,2.08,-8.105049650968382,110.47795774451318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47795774451318,-8.105049650968382]}"
36,38.6175,9.99,2.08,-8.105049650968382,110.48065269036553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48065269036553,-8.105049650968382]}"
37,39.3928,9.946,1.82,-8.105049650968382,110.4833476362179,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4833476362179,-8.105049650968382]}"
38,39.3928,9.946,1.5600000000000003,-8.105049650968382,110.48604258207025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48604258207025,-8.105049650968382]}"
39,36.7616,9.522599,1.5600000000000003,-8.105049650968382,110.48873752792261,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48873752792261,-8.105049650968382]}"
40,39.9347,10.2011,1.5600000000000003,-8.105049650968382,110.49143247377496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49143247377496,-8.105049650968382]}"
41,41.232002,10.372,1.5600000000000003,-8.105049650968382,110.49412741962733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49412741962733,-8.105049650968382]}"
42,31.118,8.434,1.04,-8.105049650968382,110.49682236547969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49682236547969,-8.105049650968382]}"
43,27.929602,8.4468,1.04,-8.105049650968382,110.49951731133204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49951731133204,-8.105049650968382]}"
44,30.1211,7.6042004,2.08,-8.102354705116024,110.45639817769431,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45639817769431,-8.102354705116024]}"
45,40.128002,9.826,1.5600000000000003,-8.102354705116024,110.45909312354667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45909312354667,-8.102354705116024]}"
46,42.959,10.6065,1.82,-8.102354705116024,110.46178806939902,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.46178806939902,-8.102354705116024]}"
47,54.9384,13.454,2.08,-8.102354705116024,110.46448301525139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.46448301525139,-8.102354705116024]}"
48,46.7808,12.3139,1.3,-8.102354705116024,110.46717796110374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.46717796110374,-8.102354705116024]}"
49,16.9252,5.6763,1.5600000000000003,-8.102354705116024,110.4698729069561,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4698729069561,-8.102354705116024]}"
50,33.244,9.458,1.5600000000000003,-8.102354705116024,110.47256785280845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47256785280845,-8.102354705116024]}"
51,29.612501,8.627,1.5600000000000003,-8.102354705116024,110.47526279866082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47526279866082,-8.102354705116024]}"
52,26.9457,8.0994,1.82,-8.102354705116024,110.47795774451318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47795774451318,-8.102354705116024]}"
53,36.8334,10.1891,1.82,-8.102354705116024,110.48065269036553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48065269036553,-8.102354705116024]}"
54,33.486,9.148,1.5600000000000003,-8.102354705116024,110.4833476362179,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4833476362179,-8.102354705116024]}"
55,33.486,9.148,1.5600000000000003,-8.102354705116024,110.48604258207025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48604258207025,-8.102354705116024]}"
56,37.776,9.919001,1.3,-8.102354705116024,110.48873752792261,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.48873752792261,-8.102354705116024]}"
57,35.1018,9.4256,1.3,-8.102354705116024,110.49143247377496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49143247377496,-8.102354705116024]}"
58,25.4296,7.4952,1.3,-8.102354705116024,110.49412741962733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49412741962733,-8.102354705116024]}"
59,47.9436,12.2126,1.04,-8.102354705116024,110.49682236547969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49682236547969,-8.102354705116024]}"
60,44.3366,11.476,1.04,-8.102354705116024,110.49951731133204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.49951731133204,-8.102354705116024]}"
61,44.2298,12.514799,1.82,-8.099659759263666,110.44022850258015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44022850258015,-8.099659759263666]}"
62,40.5124,10.7719,1.82,-8.099659759263666,110.44292344843251,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44292344843251,-8.099659759263666]}"
63,35.758698,10.0592,1.3,-8.099659759263666,110.44561839428488,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44561839428488,-8.099659759263666]}"
64,35.18,10.065001,2.6,-8.099659759263666,110.44831334013723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44831334013723,-8.099659759263666]}"
65,34.6356,9.324,1.04,-8.099659759263666,110.45100828598959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45100828598959,-8.099659759263666]}"
66,35.6392,8.942,1.82,-8.099659759263666,110.45370323184196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45370323184196,-8.099659759263666]}"
67,44.306,10.8826,2.3400000000000003,-8.099659759263666,110.45639817769431,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45639817769431,-8.099659759263666]}"
68,64.348404,15.239,2.3400000000000003,-8.099659759263666,110.45909312354667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45909312354667,-8.099659759263666]}"
69,45.7864,11.3987,2.08,-8.099659759263666,110.46178806939902,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.46178806939902,-8.099659759263666]}"
70,37.1234,9.4669,1.3,-8.099659759263666,110.46448301525139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.46448301525139,-8.099659759263666]}"
71,34.825798,9.427,1.3,-8.099659759263666,110.46717796110374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.46717796110374,-8.099659759263666]}"
72,24.238,7.514,1.3,-8.099659759263666,110.4698729069561,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4698729069561,-8.099659759263666]}"
73,26.9334,8.0848,1.5600000000000003,-8.099659759263666,110.47256785280845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47256785280845,-8.099659759263666]}"
74,23.223,7.096,1.82,-8.099659759263666,110.47526279866082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.47526279866082,-8.099659759263666]}"
